,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
1011,26298,-22636,1395,21696,-17046,-2189,-22042,-5896,-10374,2545,-17622,1014,-37369,18714,-10352,-35,-18378,13336,1765,-8358,5398,6281,28969,-24906,8661,17872,-7790,-74424,23726,-32317,-22081,22477,-12673,-60822,51166,-25722,-1949,-2012,-174,-16794,11620,-32450,-4964,24861,-16273,56070,-11964,-6669,13163,20866,-21718,10365,7004,-11501,-2636,3736,9227,-17120,-58411,-24133,-630,15536,-40595,23270,19391,4981,-12251,15242,-4025,27233,13302,11685,-1327,-4953,-4502,2590,1965,-27375,-35035,8047,13473,-1277,18273,6422,-1643,35127,-3113,13009,23897,4123,10028,8452,-8317,-21139,-11052,6101
1012,-426,3239,-775,-41919,-3499,6263,-13625,27959,37717,-30311,18774,12688,-15968,27410,35737,-37798,37174,6009,7650,48544,30275,-21625,50748,-1922,-163,35435,40645,-17646,49777,11828,-30479,9684,20422,-13844,33504,26496,-31246,-9795,9245,-16799,1258,29436,-67063,-25224,20924,-36242,32529,6147,-190544,12754,-12108,-25950,15261,22529,-153173,28616,7034,-34143,-14672,16222,-52504,45269,30791,-17225,7800,5099,-13502,24835,24543,2784,-172,-893,19530,30226,-12755,-10020,33437,3282,9945,8818,-27434,-306,5742,-35312,19973,9734,277,-19962,42648,-7387,-1700,54,-5302,-27126,8308,-9030
1013,-10614,4330,-799,21073,-1668,216,6469,13701,36960,-17141,19488,-1205,-20044,10851,4885,-24494,10092,-18618,-20440,12685,1204,-37533,4366,-1942,-10567,27469,5495,-82550,11414,-34556,-13569,24137,4912,-110187,65024,-21073,-42321,21939,227,-51680,10706,-35785,-34768,-30036,-22067,-16235,-33423,8963,-25786,-17831,11991,-4853,-13184,-3884,-9324,-8236,30410,-4524,-13678,-23635,10490,-21092,26340,-31255,-15173,37512,-21751,3173,-8722,102,7654,10068,17399,29397,-23646,-25255,3015,-39933,-348,17076,-5079,13208,12013,-29494,-25025,32827,-13007,-13042,-32601,7593,-33461,28981,4357,-30211,-28,5591
1014,-36181,23396,-7843,-16563,39677,-22798,-35400,-21924,-30441,-17910,45219,-5641,-5729,41799,-4266,15649,-13396,-27631,15431,2979,2080,11492,15526,-11023,-23459,46156,-18514,2275,-11864,4499,-16569,10852,14026,-2786,11962,4230,-10986,-11377,-4030,5925,7693,-15994,-4785,-4465,-32763,18829,-2529,-7401,-15867,12893,-14879,-2992,27997,3343,18817,16068,2082,-15041,3863,-22412,-11911,32201,2971,35867,4371,-36544,4053,47637,26995,-13187,1576,-15062,36,3981,-4496,-35516,20252,-13585,1369,1367,-1483,4607,5890,1858,-8767,9189,-6264,35510,6119,-27422,-34863,36760,949,6761,9881,-7794
1015,10608,4436,5392,-8688,31224,23058,-12388,10097,-2552,-37332,11687,13019,28673,23626,-26422,42782,668,-20156,307,5803,-14606,-10036,295,4914,-6448,-13199,-23523,2011,-11011,-7640,4407,-21557,-29491,17905,19602,-13221,-1179,-9635,20608,25843,10296,4846,-28788,10730,4300,-12773,34257,24754,-15578,6799,-37223,3423,53724,18122,-21353,8607,7287,-20085,42272,6153,-20127,23518,27120,-13179,52262,44365,-38431,47329,-5670,-33853,26129,4182,-50696,73933,8311,-57216,54821,-25735,-148771,98253,-21645,-74098,21965,-31371,-78591,51449,-59947,-41067,1770,-30100,4673,9804,-14088,17443,-14152,-9170
1016,-21476,-6157,7913,-5612,-25472,-21914,-1093,-14563,2865,-18801,-6878,-22762,-3284,-23296,18897,-11840,-8360,-17096,-22976,-22109,-2089,6160,3083,-13884,737,21371,3893,10434,-17397,-14458,20631,35504,201,12027,14338,-9935,-17621,28465,3608,16370,-1644,-3243,-6885,19192,-2414,-13010,-1435,-3064,-24183,15028,-15985,3862,7930,-6081,25813,-26086,10925,-5959,-17837,8667,27520,-18404,-2344,-16599,-12715,-15504,-5260,-24187,1597,-18124,-4167,4038,-32869,4809,-15200,-35903,-21162,-5918,-88319,14568,729,-124819,11785,-13650,-146272,57314,-10559,-53729,30521,15245,-27751,11090,15265,-14342,17547,-1075
1017,7831,9162,48689,20730,-9307,41339,16152,-43781,57047,-38576,-3823,26132,-3348,-46377,45799,-5626,1931,39859,-8668,-52793,22764,-13625,1501,30747,-62739,-9932,1688,-33776,-10958,25778,-136172,-3209,-2270,-38295,-28449,662,-67226,-26540,3766,-22049,-10937,15638,-14488,1726,14363,-18157,-10499,10431,-9641,-171,7793,30127,-25753,12305,27830,-11224,5254,9296,-22934,-913,12883,-1642,10966,-21257,-32077,4268,-2041,19925,3821,2161,17915,24391,-23392,1482,-4051,28778,43693,17149,4872,13999,25119,3700,27972,13398,10281,21923,-773,-1634,17347,13907,25959,-2760,3407,28439,18302,-20380
1018,-22486,4817,-11411,-50329,-21335,-5495,-48430,1414,-18035,-143864,-10478,-33607,-9885,29381,-9313,-210074,49024,-28326,46087,-2981,24645,-127874,90344,12061,344,13789,3118,-23396,49196,14703,28723,47395,-37979,-5064,35259,-7519,11404,42170,-23232,-21571,40833,18772,-1876,60302,-14838,-3619,25209,-16901,-23778,14384,-10371,-3994,39794,7618,-11061,38100,-9272,13706,62392,10897,-864,67011,-8555,-43689,52078,12121,-11334,40700,-25870,-22895,22766,-6140,-3744,37675,2285,-454,58007,3089,-15116,18806,-18704,-7206,18209,-10377,-31224,11959,-3612,-9681,29611,-6797,-48686,41615,20126,-36319,33961,7294
1019,-10897,134,-870,-17529,-9277,-21998,-15419,5252,-19626,24623,-5003,-264,-1060,7435,-18805,-8415,1167,-1261,7008,17703,8583,32453,-17906,-4881,-23900,-7937,-3981,-4295,-16255,14159,-44508,7447,-24633,6340,-17055,-4214,-38255,20174,5508,-5897,-51214,13700,-46577,13705,9461,-16042,-17144,-3069,-40413,-1574,-23019,-23894,21999,-12098,-31116,-1269,-22167,-19613,-16731,-25684,-55456,36543,7790,-7349,-16299,-24904,-62324,49952,-46527,14955,-6661,10522,-63195,15323,-13481,32045,-21520,-25467,-16916,-17017,-10849,12346,-16621,-8796,-6620,-12092,5009,-28194,-1867,-1171,-13789,-16787,-24261,12437,-11222,-6367
1020,-48763,5317,10671,-47117,15440,10203,-47348,31647,15380,-10444,-6556,-8406,-12949,18652,-17636,-32184,-28750,-22362,-4885,24626,-24565,-13098,2537,-2906,7316,4764,17934,-12828,10886,25,2127,-19696,26737,-28236,1625,7044,10595,-74555,79428,-25068,-4974,31110,-18061,-71535,45078,-30758,-1555,28927,-17980,-17295,28661,-8012,-16066,23868,-35852,22960,31008,-21615,-7058,24579,-33969,31605,20604,-26233,-11992,9202,-35213,19647,24855,-30895,17626,-10633,-61175,71336,-1030,-95344,65789,-17623,-124170,157712,-24416,-73181,68440,-20593,-73017,55521,-51158,-41406,-2761,6062,-36392,21404,-17809,-18637,12315,1106
1021,5999,2068,-28638,20517,-22188,5332,22413,-297,-22668,-21175,-15086,6859,19028,-27948,-15970,22508,-40423,10670,-2425,-47985,2498,-33507,-62214,25519,-18047,-3784,16217,-8653,-67812,11758,-32569,22555,19701,-15309,-10943,-12325,-137782,144030,-10708,-38045,40214,-17473,-95536,147409,-43227,-7158,46597,-24888,-6313,54781,-5395,10058,40058,10677,19804,38133,-23949,26783,20812,11625,31050,-8815,-4222,-2020,10559,-434,13423,1162,1812,15748,-4977,-22054,1609,-16687,-49571,44234,-42004,-73341,17820,-67975,-100676,37658,-33584,-61409,23837,-47278,-74652,-158,8456,-29791,-654,-15573,-34432,32986,-21259,-663
1022,747,14406,-4519,-22411,-9449,-22041,4772,-11469,-6503,-14798,27344,-6362,-28279,-11425,3376,-53397,-7141,-38108,-45967,-1684,7738,-83177,31676,-23333,2682,-13503,28033,-84551,14584,-5432,8750,22948,-9104,-11993,17401,5445,133325,116019,13218,40592,32436,8931,145796,83273,27375,48551,13575,-784,52192,-1248,-3643,36772,-1550,-16809,51932,-34245,18459,19920,-22156,-21578,-4637,-24899,-9465,7652,12838,-16513,4059,-10505,-4383,3741,-18900,14426,-1067,-373,34949,-25016,-13943,18119,-29712,-28710,86085,-17252,-38221,31793,-27255,-8766,43787,7378,12271,1819,-8250,-3295,22213,-20931,-25193,-13727
1023,-19457,-2717,-6217,-164504,-72562,-56818,-42638,-34978,-30240,-315086,-36186,-62655,-47365,-32114,-24098,-324092,81957,20539,-45993,6925,3434,-127485,-1008,19368,-54125,-23059,1843,-54594,33485,8663,-35282,-6916,11289,-37543,6600,5931,-43883,-835,4593,4076,5153,17140,-4580,-20287,-19625,19892,8858,2634,16093,-39233,3188,6673,31325,-21750,-17570,-11040,15044,17968,23548,1690,-9984,7042,-5423,1827,98,-4387,11649,-11161,-3592,-258,-7715,4284,9373,-5201,-13091,21795,19196,698,6758,-3653,-12882,11638,-26247,33997,12249,367,8950,33244,-38592,10877,-17845,11243,-4245,16242,-11701,-12868
1024,-27324,661,-15842,-44817,-33037,-2984,-53321,639,-48997,-75158,23083,-30806,-61879,67323,-24998,-140603,69257,-24385,-58902,-13872,4344,-125124,67765,-29741,-54290,-28519,32908,-147629,61840,1315,-14668,-70800,26672,-85755,33104,5116,21454,6457,-1647,-9246,16324,-16636,11050,9406,-169,30643,-23775,-5174,3691,7812,9369,22443,-10233,-13814,13403,-22370,3520,20717,-5278,-23808,20588,-20034,-3815,-3915,-17008,-4194,-14466,1242,-7805,-10782,8905,-14391,-7379,-737,-7744,-20142,56415,-44671,2772,12340,2834,-2823,8738,-4089,41470,5327,7684,-2437,41738,-41827,-14617,-8617,-5427,-11449,5960,-472
1025,-17719,-6167,17143,15274,50555,-3559,10160,6280,36838,8463,32454,-30542,29075,-19271,13720,-7016,11148,-12392,10434,-22990,5350,10599,21287,-473,4697,-13368,18988,12633,2362,-16464,13212,-13459,11337,25479,-6160,-4019,31584,13081,29937,33340,-26991,-5864,12790,3320,25226,15659,-33577,7893,6992,18909,26115,38111,-55406,-5403,-9610,14278,-3262,-2501,-5274,9696,15289,16188,-8041,-9011,19258,14598,-30173,10295,-38983,-29311,-17389,-4898,-14447,59355,-20981,-71232,30739,-29163,-169381,140044,-32937,-93877,84134,-21506,-128723,78531,-36297,-49792,36166,-25478,-15965,13164,-51445,-4607,1270,480
1026,2416,3261,-9624,14918,-2366,-9213,15836,3024,-23191,-16208,-21036,-2322,-24490,-7111,12602,15661,-36717,-1120,-18165,-25592,-9764,-19501,-37118,29582,22814,-39109,15946,-44571,9535,-10834,12321,-20412,30589,-67685,70016,-4028,253,-25163,20283,-13292,10369,18329,24712,-32917,76978,1804,-862,23266,-7038,-24565,30524,-6372,-11023,14178,-27465,-5816,15552,-15226,1543,43812,-19312,1903,30885,-11212,-19684,20134,-1631,-9698,24796,-3497,-7820,785,-16513,42833,9042,32079,-33507,11256,-15006,-6993,-7730,3044,6696,-2280,3755,-16107,-22603,-4604,-23421,2056,19207,-7807,-21757,4932,-23187,-4884
